Hydr_id        ,Address                                 ,Descript                                          ,CapColor
434049,NE 35th ST & Pine Mill RD               ,Green (1000-1500 gpm)                             ,Green
434053,3400 Pine Mill RD /3400 Pine Mill Road (,Green (1000-1500 gpm)                             ,Green
434078,3550 NE Loop 286 /Paris Regional Cancer ,Green (1000-1500 gpm)                             ,Green
434083,3435 NE Loop 286 /Paris Orthopedic Clini,Green (1000-1500 gpm)                             ,Green
434100,3447 Miller PL                          ,Green (1000-1500 gpm)                             ,Green
434101,NE 34th ST & NE Loop 286                ,Green (1000-1500 gpm)                             ,Green
434104,3411 NE LOOP 286 /Paris Ford            ,Green (1000-1500 gpm)                             ,Green
434118,NE 34th ST & Vagas DR                   ,Green (1000-1500 gpm)                             ,Green
434138,NE 34th ST & Reno DR                    ,Green (1000-1500 gpm)                             ,Green
434168,NE 34th ST & E Oak AVE                  ,Green (1000-1500 gpm)                             ,Green
435042,3561 NE Loop 286 /(BRAUMS)              ,Green (1000-1500 gpm)                             ,Green
435043,3565 NE Loop 286 /Pizza Hut             ,Green (1000-1500 gpm)                             ,Green
435046,3563 NE Loop 286 /Hampton Inn           ,Orange (500-1000 gpm)                             ,Orange
435066,3555 NE Loop 286 /Paris Lumber          ,Green (1000-1500 gpm)                             ,Green
435070,3500 Castlegate DR /End of Castlegate   ,Orange (500-1000 gpm)                             ,Orange
435074,3505 NE Loop 286 /Comfort Inn           ,Green (1000-1500 gpm)                             ,Green
435084,3500 NE Loop 286 /FISH FRY              ,Green (1000-1500 gpm)                             ,Green
435110,NE 35th ST & Vagas DR                   ,Green (1000-1500 gpm)                             ,Green
435112,NE 35th ST & Nevada DR                  ,Green (1000-1500 gpm)                             ,Green
435138,NE 35th ST & Reno DR                    ,Green (1000-1500 gpm)                             ,Green
435186,NE 36th ST & Clement RD                 ,Green (1000-1500 gpm)                             ,Green
435215,2100 NE 36th ST                         ,Orange (500-1000 gpm)                             ,Orange
435225,2245 NE 36th ST                         ,Orange (500-1000 gpm)                             ,Orange
435243,2400 NE 36th ST                         ,Orange (500-1000 gpm)                             ,Orange
435283,NE 36th ST & Farm Road 195              ,Orange (500-1000 gpm)                             ,Orange
435285,3415 Darnell DR /westside               ,Orange (500-1000 gpm)                             ,Orange
435289,Farm Road 195 & North Hills RD          ,Orange (500-1000 gpm)                             ,Orange
